batch: 0, network_service[batch 0]: [6 2 1 1 5 5 7 4 3 4 8 6 1 6 6 1], placement[batch 0]: [0. 0. 0. 2. 2. 2. 2. 2. 1. 1. 1. 1. 1. 3. 3. 3.], reward: 4425.78125, lagrangian: 10425.78125, baseline: -3001.38330078125, advantage: 13427.16455078125, penalty: 6000.0, minibatch_loss: -1368.646728515625
batch: 100, network_service[batch 0]: [5 3 3 3 7 6 3 6 1 1 6 5 2 3 3 7], placement[batch 0]: [0. 0. 0. 0. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3. 3. 3.], reward: 4427.34375, lagrangian: 8794.53125, baseline: 1413.4228515625, advantage: 7381.1083984375, penalty: 4367.1875, minibatch_loss: -582.654541015625
batch: 200, network_service[batch 0]: [7 5 7 5 6 8 6 8 8 1 1 7 7 7 4 5], placement[batch 0]: [0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 1. 1. 1. 3. 3. 3.], reward: 4475.78125, lagrangian: 8960.15625, baseline: 2025.118408203125, advantage: 6935.037841796875, penalty: 4484.375, minibatch_loss: -656.9326171875
batch: 300, network_service[batch 0]: [8 8 1 4 3 8 1 8 1 7 5 5 6 5 7 5], placement[batch 0]: [0. 0. 0. 0. 2. 2. 2. 2. 1. 1. 1. 1. 1. 3. 3. 3.], reward: 4451.5625, lagrangian: 8600.0, baseline: 2285.6630859375, advantage: 6314.3369140625, penalty: 4148.4375, minibatch_loss: -500.58758544921875
batch: 400, network_service[batch 0]: [7 8 1 4 7 5 7 7 1 7 5 6 4 4 5 2], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3.], reward: 4375.0, lagrangian: 7898.4375, baseline: 2391.4541015625, advantage: 5506.9833984375, penalty: 3523.4375, minibatch_loss: -437.0418701171875
batch: 500, network_service[batch 0]: [4 7 4 5 2 8 6 7 7 5 2 7 3 5 6 2], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3.], reward: 4385.9375, lagrangian: 8190.625, baseline: 2587.31787109375, advantage: 5603.30712890625, penalty: 3804.6875, minibatch_loss: -401.03143310546875
batch: 600, network_service[batch 0]: [5 4 7 2 5 7 8 8 5 1 3 2 5 1 5 1], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 1. 1. 1. 3. 3. 3.], reward: 4378.90625, lagrangian: 8066.40625, baseline: 2696.3701171875, advantage: 5370.0361328125, penalty: 3687.5, minibatch_loss: -438.4617919921875
batch: 700, network_service[batch 0]: [3 8 8 7 3 4 8 6 2 6 1 4 8 6 8 6], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 1. 1. 1. 3. 3. 3. 3.], reward: 4406.25, lagrangian: 8164.0625, baseline: 2905.61962890625, advantage: 5258.44287109375, penalty: 3757.8125, minibatch_loss: -414.815673828125
batch: 800, network_service[batch 0]: [7 4 4 2 3 6 8 3 5 2 1 6 4 8 1 7], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3. 3.], reward: 4449.21875, lagrangian: 8496.09375, baseline: 3006.00390625, advantage: 5490.08984375, penalty: 4046.875, minibatch_loss: -444.29486083984375
batch: 900, network_service[batch 0]: [2 3 6 4 6 8 4 1 1 8 5 6 6 1 1 4], placement[batch 0]: [0. 0. 0. 0. 2. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3. 3.], reward: 4351.5625, lagrangian: 7765.625, baseline: 3125.44775390625, advantage: 4640.17724609375, penalty: 3414.0625, minibatch_loss: -349.0853271484375
batch: 1000, network_service[batch 0]: [6 7 3 2 5 5 7 4 7 7 5 2 5 6 6 2], placement[batch 0]: [0. 0. 0. 0. 0. 2. 2. 2. 2. 1. 1. 1. 1. 3. 3. 3.], reward: 4432.03125, lagrangian: 8182.03125, baseline: 3335.013671875, advantage: 4847.017578125, penalty: 3750.0, minibatch_loss: -334.336181640625
